                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9682,                 3.9182,                0.94567,                0.00305,                 0.0129,                0.00201,                0.00045,                 1.9209,                  4.043,                0.86411,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.7948,                 1.7075,                0.86748,                0.03255,                0.15621,                0.11978,                0.05428,                 1.6634,                  3.269,                0.84868,             0.00037983,             0.00037983,             0.00037983
                      3,                 1.6252,                 1.3711,                0.85866,                0.04499,                0.25306,                 0.2089,                0.09831,                 1.6969,                 2.5561,                0.85038,             0.00056423,             0.00056423,             0.00056423
                      4,                 1.6089,                 1.2139,                 0.8528,                 0.0452,                0.40448,                0.22409,                0.12257,                 1.4393,                  2.233,                0.83765,             0.00074072,             0.00074072,             0.00074072
                      5,                 1.5629,                 1.1575,                0.84596,                0.96785,                0.19138,                0.23103,                0.12331,                 1.4435,                  1.708,                0.83228,             0.00090929,             0.00090929,             0.00090929
                      6,                 1.5603,                 1.1626,                0.84788,                0.81879,                 0.1983,                0.23931,                0.12821,                 1.5648,                 1.5895,                0.84831,              0.0010699,              0.0010699,              0.0010699
                      7,                 1.4999,                 1.0981,                0.84527,                0.85022,                0.23139,                0.26877,                0.13895,                 1.5196,                 1.4196,                0.84006,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.4754,                 1.0739,                 0.8455,                0.83575,                0.23929,                0.28154,                0.15486,                 1.4438,                 1.2576,                0.84209,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.4744,                 1.0391,                0.83957,                0.79484,                0.26909,                0.33276,                0.19011,                 1.3635,                  1.112,                0.82857,               0.001052,               0.001052,               0.001052
                     10,                 1.4043,                 1.0207,                0.83547,                0.77058,                0.26365,                0.34893,                0.21275,                 1.3216,                 1.0464,                0.83501,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.4508,                 1.0009,                0.83509,                0.77459,                0.29461,                0.37334,                0.22544,                 1.3314,                0.93219,                0.82435,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.4468,                0.97344,                0.83322,                0.81497,                0.33502,                 0.4008,                 0.2368,                 1.3964,                 1.0762,                0.82909,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.3919,                0.92734,                0.83059,                0.68686,                0.38552,                0.40388,                 0.2512,                 1.2526,                0.88173,                0.82134,               0.000953,               0.000953,               0.000953
                     14,                 1.2912,                0.89219,                0.82359,                0.74771,                0.39969,                0.45156,                0.27736,                 1.2632,                 0.8447,                0.82248,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.3344,                0.86509,                0.82476,                0.72003,                0.43167,                 0.4678,                0.28672,                 1.2417,                0.81095,                0.81748,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.3527,                0.87908,                0.82541,                0.76978,                0.45769,                 0.5134,                0.31152,                 1.2901,                0.82951,                 0.8182,             0.00087875,             0.00087875,             0.00087875
                     17,                  1.328,                0.84145,                0.82441,                0.86983,                0.42713,                0.49984,                0.31263,                   1.22,                0.78108,                0.81779,               0.000854,               0.000854,               0.000854
