                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9682,                 3.9182,                0.94567,                0.00305,                 0.0129,                0.00201,                0.00045,                 1.9209,                  4.043,                0.86411,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.7953,                 1.7071,                 0.8674,                0.03242,                0.15592,                0.12009,                0.05392,                 1.6601,                 3.2681,                0.84865,             0.00038366,             0.00038366,             0.00038366
                      3,                 1.6251,                 1.3743,                0.85876,                0.04446,                0.25424,                0.21019,                0.09688,                 1.7177,                 2.5261,                0.85189,             0.00057587,             0.00057587,             0.00057587
                      4,                 1.6136,                 1.2205,                 0.8527,                0.04551,                0.39725,                0.22338,                0.11954,                 1.4643,                 2.2494,                0.83682,             0.00076411,             0.00076411,             0.00076411
                      5,                 1.5702,                 1.1634,                0.84664,                0.96103,                0.19837,                0.23129,                0.12163,                 1.4671,                 1.6381,                0.83395,             0.00094839,             0.00094839,             0.00094839
                      6,                 1.5524,                 1.1623,                0.85288,                0.74435,                0.22068,                  0.245,                0.13269,                 1.4716,                 1.3983,                0.84869,              0.0011287,              0.0011287,              0.0011287
                      7,                 1.5445,                 1.1152,                0.84784,                0.75987,                0.23626,                0.27273,                0.14612,                 1.5074,                 1.2481,                0.84156,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.4455,                 1.0856,                0.84579,                0.82252,                0.23303,                0.28405,                0.15844,                 1.5095,                 1.2898,                0.84509,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4561,                 1.0401,                0.84169,                0.80779,                0.26484,                0.31657,                0.18103,                 1.4135,                 1.0739,                0.83546,               0.001151,               0.001151,               0.001151
                     10,                 1.4142,                 1.0284,                0.84054,                0.75545,                0.26649,                0.33774,                0.19974,                 1.3052,                 1.0202,                0.83219,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.4272,                0.98116,                 0.8386,                0.71725,                0.29564,                0.35806,                0.20452,                  1.403,                0.98175,                0.83255,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.4271,                0.95799,                0.83627,                0.80261,                0.31582,                0.38732,                0.21818,                  1.405,                 1.0229,                0.83436,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.3884,                0.91448,                0.83472,                0.69406,                0.41885,                0.41624,                0.25846,                 1.2743,                0.89075,                0.82505,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.3468,                0.90069,                0.82811,                0.74568,                0.41363,                0.44346,                0.26588,                 1.2778,                0.82664,                0.82929,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.3655,                0.87111,                0.83095,                 0.7255,                0.43066,                0.45763,                0.28031,                 1.2837,                0.79572,                0.82546,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.3702,                0.88177,                0.82926,                0.74048,                0.48411,                0.50967,                 0.2946,                 1.3463,                0.80281,                0.82342,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3115,                0.83265,                0.82587,                0.82781,                0.46506,                0.52734,                0.30222,                 1.2532,                0.79098,                0.82526,               0.001052,               0.001052,               0.001052
                     18,                 1.3247,                0.82361,                 0.8294,                0.81574,                0.49225,                0.54391,                0.32531,                 1.2478,                0.74095,                0.81822,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.2689,                0.79567,                0.82294,                0.80038,                0.49969,                0.55773,                0.33882,                 1.1907,                0.72446,                0.81556,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.3102,                0.78818,                0.82393,                0.78461,                0.48882,                0.54968,                0.33459,                 1.2352,                0.73212,                0.81528,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.2481,                0.75905,                0.82084,                0.83681,                0.44006,                0.53581,                0.31902,                 1.2705,                0.73824,                0.81769,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.2927,                0.77343,                0.82097,                0.88375,                 0.4724,                0.55327,                0.34456,                 1.2002,                0.70219,                0.81405,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.228,                0.74426,                0.81992,                0.83755,                 0.4943,                0.55536,                0.32891,                  1.309,                0.72603,                0.81901,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.276,                0.75511,                0.81763,                0.85068,                0.48842,                0.55092,                0.34693,                 1.1859,                0.70243,                 0.8133,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.2591,                 0.7423,                0.81484,                0.79691,                0.52823,                0.57058,                0.34534,                 1.2132,                0.67074,                0.81444,               0.000953,               0.000953,               0.000953
                     26,                 1.2522,                0.72544,                0.81308,                0.79272,                0.55297,                 0.5699,                0.34779,                 1.2077,                0.67461,                0.81389,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.2316,                0.71044,                0.81447,                 0.7917,                0.54934,                 0.5793,                0.35596,                 1.1898,                0.65019,                0.81311,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.2145,                0.70579,                0.81763,                0.80233,                 0.5677,                0.58827,                0.37075,                 1.1774,                 0.6434,                0.81259,             0.00091588,             0.00091588,             0.00091588
